[CAT=art]	İslam'da kadın	None	İslam#<>#İSLAM
[CAT=sport]	Almanya kadın millî futbol takımı	None	Almanya Millî Futbol Takımı#<>#Almanya Millî futbol Takımı#<>#Almanya millî futbol takımı
[CAT=sport]	Amerika Birleşik Devletleri kadın millî basketbol takımı	None	Amerika Birleşik Devletleri millî basketbol takımı#<>#Amerika Birleşik Devletleri Millî Basketbol Takımı
[CAT=sport]	Amerika Birleşik Devletleri kadın millî futbol takımı	None	Amerika Birleşik Devletleri millî futbol takımı#<>#Amerika Birleşik Devletleri Millî Futbol Takımı
[CAT=sport]	Amstel Gold Race (kadınlar)	None	Amstel Gold Race
[CAT=sport]	Andorra kadın millî futbol takımı	None	Andorra millî futbol takımı#<>#Andorra Millî Futbol Takımı
[CAT=sport]	Arnavutluk kadın millî futbol takımı	None	Arnavutluk millî futbol takımı#<>#Arnavutluk Millî Futbol Takımı
[CAT=sport]	Avrupa Kadınlar Basketbol Şampiyonası	None	Avrupa Basketbol Şampiyonası
[CAT=sport]	Avrupa Kadınlar Futbol Şampiyonası	None	Avrupa futbol şampiyonası#<>#Avrupa Futbol Şampiyonası
[CAT=sport]	Avustralya kadın millî basketbol takımı	None	Avustralya millî basketbol takımı#<>#Avustralya Millî Basketbol Takımı
[CAT=sport]	Avusturya kadın millî futbol takımı	None	Avusturya Millî Futbol Takımı#<>#Avusturya millî futbol takımı
[CAT=sport]	Azerbaycan kadın millî futbol takımı	None	Azerbaycan Millî Futbol Takımı#<>#Azerbaycan millî futbol takımı
[CAT=sport]	Belarus kadın millî basketbol takımı	None	Belarus millî basketbol takımı#<>#Belarus Millî Basketbol Takımı
[CAT=sport]	Belarus kadın millî futbol takımı	None	Belarus Millî Futbol Takımı#<>#Belarus millî futbol takımı
[CAT=sport]	Belçika kadın millî futbol takımı	None	Belçika millî futbol takımı#<>#Belçika Millî Futbol Takımı
[CAT=sport]	Beşiktaş (kadın basketbol takımı)	None	Beşiktaş Basketbol Takımı#<>#Beşiktaş (basketbol takımı)
[CAT=sport]	Beşiktaş (kadın basketbol takımı) 2013-14 sezonu	None	Beşiktaş (basketbol takımı) 2013-14 sezonu
[CAT=sport]	Beşiktaş (kadın futbol takımı)	None	Beşiktaş (futbol takımı)
[CAT=sport]	Bosna-Hersek kadın millî futbol takımı	None	Bosna Hersek millî futbol takımı#<>#Bosna Hersek Millî Futbol Takımı#<>#Bosna-Hersek millî futbol takımı#<>#Bosna-Hersek Millî Futbol Takımı#<>#Bosna-hersek millî futbol takımı
[CAT=sport]	Brezilya kadın millî futbol takımı	None	Brezilya millî futbol takımı#<>#Brezilya Millî Futbol Takımı
[CAT=sport]	Bulgaristan kadın millî basketbol takımı	None	Bulgaristan millî basketbol takımı#<>#Bulgaristan Millî Basketbol Takımı
[CAT=sport]	Bulgaristan kadın millî futbol takımı	None	Bulgaristan millî futbol takımı#<>#Bulgaristan Millî Futbol Takımı
[CAT=sport]	Bundesliga (kadınlar)	None	Bundesliga
[CAT=sport]	Büyük Britanya kadın millî basketbol takımı	None	Büyük Britanya Millî Basketbol Takımı#<>#Büyük Britanya millî basketbol takımı
[CAT=sport]	CEV Kadınlar Kupası	None	CEV Kupası
[CAT=sport]	CEV Kadınlar Şampiyonlar Ligi	None	CEV Şampiyonlar Ligi
[CAT=sport]	CONCACAF Kadınlar Şampiyonası	None	CONCACAF Şampiyonası
[CAT=sport]	Cibuti kadın millî futbol takımı	None	Cibuti millî futbol takımı#<>#Cibuti Millî Futbol Takımı
[CAT=sport]	Danimarka kadın millî futbol takımı	None	Danimarka millî futbol takımı#<>#Danimarka Millî Futbol Takımı
[CAT=sport]	Dünya Kadınlar Buz Hokeyi Şampiyonası	None	Dünya Buz Hokeyi Şampiyonası
[CAT=sport]	Ermenistan kadın millî futbol takımı	None	Ermenistan millî futbol takımı#<>#Ermenistan Millî Futbol Takımı
[CAT=sport]	Estonya kadın millî futbol takımı	None	Estonya millî futbol takımı#<>#Estonya Millî Futbol Takımı
[CAT=sport]	FIBA Asya Kadınlar Şampiyonası	None	FIBA Asya Şampiyonası
[CAT=sport]	FIBA Kadınlar Basketbol Dünya Kupası	None	FIBA Basketbol Dünya Kupası
[CAT=sport]	FIFA 17 Yaş Altı Kadınlar Dünya Kupası	None	Fifa 17 yaş altı dünya kupası#<>#FIFA 17 Yaş Altı Dünya Kupası
[CAT=sport]	FIFA 20 Yaş Altı Kadınlar Dünya Kupası	None	Fifa 20 yaş altı dünya kupası#<>#FIFA 20 Yaş Altı Dünya Kupası
[CAT=sport]	FIFA Kadınlar Dünya Kupası	None	FIFA Dünya Kupası#<>#Fifa Dünya Kupası#<>#Fifa dünya kupası#<>#FIFA dünya kupası
[CAT=sport]	FIFA Kadınlar Dünya Kupası Ev Sahipleri	None	FIFA Dünya Kupası ev sahipleri
[CAT=sport]	Faroe Adaları kadın millî futbol takımı	None	Faroe Adaları millî futbol takımı#<>#Faroe Adaları Millî Futbol Takımı#<>#Faroe adaları millî futbol takımı
[CAT=sport]	Fenerbahçe (kadın basketbol takımı)	None	Fenerbahçe Basketbol Takımı#<>#Fenerbahçe (basketbol takımı)
[CAT=sport]	Fenerbahçe (kadın basketbol takımı) 2002-03 sezonu	None	Fenerbahçe (basketbol takımı) 2002-03 sezonu
[CAT=sport]	Finlandiya kadın millî futbol takımı	None	Finlandiya Millî Futbol Takımı#<>#Finlandiya millî futbol takımı
[CAT=sport]	Fransa kadın millî basketbol takımı	None	Fransa millî basketbol takımı#<>#Fransa Millî Basketbol Takımı
[CAT=sport]	Fransa kadın millî futbol takımı	None	Fransa Millî Futbol Takımı#<>#Fransa millî futbol takımı
[CAT=sport]	Galatasaray (kadın basketbol takımı)	None	Galatasaray (basketbol takımı)#<>#Galatasaray Basketbol Takımı
[CAT=sport]	Galler kadın millî futbol takımı	None	Galler millî futbol takımı#<>#Galler Millî Futbol Takımı
[CAT=sport]	Gürcistan kadın millî futbol takımı	None	Gürcistan millî futbol takımı#<>#Gürcistan Millî Futbol Takımı
[CAT=sport]	Hindistan kadın millî kriket takımı	None	Hindistan millî kriket takımı#<>#Hindistan Millî Kriket Takımı
[CAT=sport]	Hollanda kadın millî futbol takımı	None	Hollanda Millî Futbol Takımı#<>#Hollanda millî futbol takımı
[CAT=sport]	Hırvatistan kadın millî basketbol takımı	None	Hırvatistan millî basketbol takımı#<>#Hırvatistan Millî Basketbol Takımı
[CAT=sport]	Hırvatistan kadın millî futbol takımı	None	Hırvatistan Millî Futbol Takımı#<>#Hırvatistan millî futbol takımı
[CAT=sport]	Japonya kadın millî futbol takımı	None	Japonya Millî Futbol Takımı#<>#Japonya millî futbol takımı
[CAT=sport]	Kadın vücut geliştirme	None	Vücut geliştirme#<>#Vücut Geliştirme
[CAT=sport]	Kadınlar Afrika Uluslar Kupası	None	Afrika Uluslar Kupası
[CAT=sport]	Kadınlar Basketbol Süper Ligi	None	Basketbol Süper Ligi
[CAT=sport]	Kadınlar CEV Challenge Kupası	None	CEV Challenge Kupası
[CAT=sport]	Kadınlar Futbol Birliği	None	Futbol Birliği
[CAT=sport]	Kadınlar İslam Oyunları	None	İslam Oyunları
[CAT=sport]	Kanada kadın millî basketbol takımı	None	Kanada millî basketbol takımı#<>#Kanada Millî Basketbol Takımı
[CAT=sport]	Kubok Rossii (kadınlar)	None	Kubok Rossii
[CAT=sport]	Kuzey Kıbrıs Türk Cumhuriyeti kadın millî futbol takımı	None	Kuzey Kıbrıs Türk Cumhuriyeti millî futbol takımı#<>#Kuzey Kıbrıs Türk Cumhuriyeti Millî Futbol Takımı#<>#Kuzey kıbrıs türk cumhuriyeti millî futbol takımı
[CAT=sport]	Kıbrıs Cumhuriyeti kadın millî futbol takımı	None	Kıbrıs Cumhuriyeti millî futbol takımı#<>#Kıbrıs cumhuriyeti millî futbol takımı#<>#Kıbrıs Cumhuriyeti Millî Futbol Takımı
[CAT=sport]	Letonya kadın millî basketbol takımı	None	Letonya Millî Basketbol Takımı#<>#Letonya millî basketbol takımı
[CAT=sport]	Litvanya kadın millî basketbol takımı	None	Litvanya millî basketbol takımı#<>#Litvanya Millî Basketbol Takımı
[CAT=sport]	Liège-Bastogne-Liège (kadınlar)	None	Liège-Bastogne-Liège
[CAT=sport]	Madagaskar kadın millî futbol takımı	None	Madagaskar millî futbol takımı#<>#Madagaskar Millî Futbol Takımı
[CAT=sport]	Mersin Büyükşehir Belediyespor (kadın basketbol takımı)	None	Mersin Büyükşehir Belediyespor (basketbol takımı)
[CAT=sport]	OFC Kadınlar Uluslar Kupası	None	OFC Uluslar Kupası
[CAT=sport]	Ormanspor (kadın basketbol takımı)	None	Ormanspor (basketbol takımı)
[CAT=sport]	Orta Afrika Cumhuriyeti kadın millî futbol takımı	None	Orta Afrika Cumhuriyeti millî futbol takımı#<>#Orta afrika cumhuriyeti millî futbol takımı#<>#Orta Afrika Cumhuriyeti Millî Futbol Takımı
[CAT=sport]	Rusya kadın millî basketbol takımı	None	Rusya Millî Basketbol Takımı#<>#Rusya millî basketbol takımı
[CAT=sport]	Rusya kadın millî futbol takımı	None	Rusya millî futbol takımı#<>#Rusya Millî Futbol Takımı
[CAT=sport]	Sovyetler Birliği kadın millî basketbol takımı	None	Sovyetler Birliği millî basketbol takımı#<>#Sovyetler Birliği Millî Basketbol Takımı
[CAT=sport]	Sovyetler Birliği kadın millî futbol takımı	None	Sovyetler Birliği Millî Futbol Takımı#<>#Sovyetler Birliği millî futbol takımı
[CAT=sport]	Tour of California (kadınlar)	None	Tour of California
[CAT=sport]	Trabzonspor (kadın futbol takımı)	None	Trabzonspor (futbol takımı)
[CAT=sport]	Türk kadınlar futbolunda lig sistemi	None	Türk futbolunda lig sistemi
[CAT=sport]	Türkiye 17 yaş altı kadın millî futbol takımı	None	Türkiye 17 Yaş Altı Millî Futbol Takımı#<>#Türkiye 17 yaş altı millî futbol takımı
[CAT=sport]	Türkiye 19 yaş altı kadın millî futbol takımı	None	Türkiye 19 yaş altı millî futbol takımı#<>#Türkiye 19 Yaş Altı Millî Futbol Takımı
[CAT=sport]	Türkiye 20 yaş altı kadın millî basketbol takımı	None	Türkiye 20 yaş altı millî basketbol takımı
[CAT=sport]	Türkiye Kadınlar Basketbol Ligi	None	Türkiye Basketbol Ligi
[CAT=sport]	Türkiye kadın millî basketbol takımı	None	Türkiye Millî Basketbol Takımı#<>#Türkiye millî basketbol takımı
[CAT=sport]	Türkiye kadın millî futbol takımı	None	Türkiye Millî Futbol Takımı#<>#Türkiye millî futbol takımı
[CAT=sport]	Türkiye kadın millî ragbi birliği takımı	None	Türkiye Millî Ragbi Birliği Takımı#<>#Türkiye millî ragbi birliği takımı
[CAT=sport]	UCI Kadınlar Dünya Turu	None	UCI Dünya Turu
[CAT=sport]	UCI Kadınlar Yol Dünya Kupası	None	UCI Yol Dünya Kupası
[CAT=sport]	UEFA Kadınlar Şampiyonlar Ligi	None	UEFA Şampiyonlar Ligi
[CAT=sport]	UEFA Kadınlar Şampiyonlar Ligi finalleri listesi	None	UEFA Şampiyonlar Ligi finalleri listesi
[CAT=sport]	Yeni Zelanda kadın millî ragbi birliği takımı	None	Yeni Zelanda millî ragbi birliği takımı#<>#Yeni Zelanda Millî Ragbi Birliği Takımı
[CAT=sport]	Yugoslavya kadın millî basketbol takımı	None	Yugoslavya millî basketbol takımı#<>#Yugoslavya Millî Basketbol Takımı
[CAT=sport]	Yunanistan kadın millî basketbol takımı	None	Yunanistan millî basketbol takımı#<>#Yunanistan Millî Basketbol Takımı
[CAT=sport]	Çek Cumhuriyeti kadın millî basketbol takımı	None	Çek Cumhuriyeti Millî Basketbol Takımı#<>#Çek Cumhuriyeti millî basketbol takımı
[CAT=sport]	Çek Cumhuriyeti kadın millî futbol takımı	None	Çek Cumhuriyeti millî futbol takımı#<>#Çek Cumhuriyeti Millî Futbol Takımı
[CAT=sport]	İngiltere kadın millî futbol takımı	None	İngiltere Millî Futbol Takımı#<>#İngiltere millî futbol takımı
[CAT=sport]	İrlanda kadın millî futbol takımı	None	İrlanda Millî Futbol Takımı#<>#İrlanda millî futbol takımı
[CAT=sport]	İrlanda kadın millî ragbi birliği takımı	None	İrlanda Millî Ragbi Birliği Takımı#<>#İrlanda millî ragbi birliği takımı
[CAT=sport]	İskoçya kadın millî futbol takımı	None	İskoçya Millî Futbol Takımı#<>#İskoçya millî futbol takımı
[CAT=sport]	İspanya kadın millî basketbol takımı	None	İspanya Millî Basketbol Takımı#<>#İspanya millî basketbol takımı
[CAT=sport]	İtalya kadın millî basketbol takımı	None	İtalya millî basketbol takımı#<>#İtalya Millî Basketbol Takımı
[CAT=sport]	Şili kadın millî futbol takımı	None	Şili Millî Futbol Takımı#<>#Şili millî futbol takımı
