[CAT=list]	Statystyki kobiet w Pucharze Świata w biathlonie 2012/2013	Statystyki mężczyzn w Pucharze Świata w biathlonie 2012/2013	None
[CAT=sport]	Abierto Mexicano TELCEL 2011 (kobiety)	Abierto Mexicano TELCEL 2011 (mężczyźni)	None
[CAT=sport]	Abierto Mexicano TELCEL 2012 (kobiety)	Abierto Mexicano TELCEL 2012 (mężczyźni)	None
[CAT=sport]	Abierto Mexicano Telcel 2013 (kobiety)	Abierto Mexicano Telcel 2013 (mężczyźni)	None
[CAT=sport]	Abierto Mexicano Telcel 2014 (kobiety)	Abierto Mexicano Telcel 2014 (mężczyźni)	None
[CAT=sport]	Abierto Mexicano Telcel 2015 (kobiety)	Abierto Mexicano Telcel 2015 (mężczyźni)	None
[CAT=sport]	Abierto Mexicano Telcel 2016 (kobiety)	Abierto Mexicano Telcel 2016 (mężczyźni)	None
[CAT=sport]	Abierto Mexicano Telcel 2017 (kobiety)	Abierto Mexicano Telcel 2017 (mężczyźni)	None
[CAT=sport]	Abierto Mexicano Telcel 2018 (kobiety)	Abierto Mexicano Telcel 2018 (mężczyźni)	None
[CAT=sport]	Abierto Mexicano Telcel 2019 (kobiety)	Abierto Mexicano Telcel 2019 (mężczyźni)	None
[CAT=sport]	Abierto Mexicano Telcel 2020 (kobiety)	Abierto Mexicano Telcel 2020 (mężczyźni)	None
[CAT=sport]	Adelaide International 2020 (kobiety)	Adelaide International 2020 (mężczyźni)	None
[CAT=sport]	Aegon International Eastbourne 2017 (kobiety)	Aegon International Eastbourne 2017 (mężczyźni)	None
[CAT=sport]	Aegon Open Nottingham 2015 (kobiety)	Aegon Open Nottingham 2015 (mężczyźni)	None
[CAT=sport]	Aegon Open Nottingham 2016 (kobiety)	Aegon Open Nottingham 2016 (mężczyźni)	None
[CAT=sport]	Afrykański Turniej Kwalifikacyjny w piłce siatkowej kobiet do Letnich Igrzysk Olimpijskich 2012	Afrykański turniej kwalifikacyjny w piłce siatkowej mężczyzn do Letnich Igrzysk Olimpijskich 2012	None
[CAT=sport]	Akademickie Mistrzostwa Polski w koszykówce kobiet	Akademickie Mistrzostwa Polski w koszykówce mężczyzn	None
[CAT=sport]	Apia International Sydney 2012 (kobiety)	Apia International Sydney 2012 (mężczyźni)	None
[CAT=sport]	Apia International Sydney 2013 (kobiety)	Apia International Sydney 2013 (mężczyźni)	None
[CAT=sport]	Apia International Sydney 2014 (kobiety)	Apia International Sydney 2014 (mężczyźni)	None
[CAT=sport]	Apia International Sydney 2015 (kobiety)	Apia International Sydney 2015 (mężczyźni)	None
[CAT=sport]	Apia International Sydney 2016 (kobiety)	Apia International Sydney 2016 (mężczyźni)	None
[CAT=sport]	Apia International Sydney 2017 (kobiety)	Apia International Sydney 2017 (mężczyźni)	None
[CAT=sport]	Arka Gdynia (piłka ręczna kobiet)	Arka Gdynia (piłka ręczna mężczyzn)	None
[CAT=sport]	Australian Open 2004 (gra pojedyncza kobiet)	Australian Open 2004 (gra pojedyncza mężczyzn)	None
[CAT=sport]	Australian Open 2005 (gra podwójna kobiet)	Australian Open 2005 (gra podwójna mężczyzn)	None
[CAT=sport]	Australian Open 2005 (gra pojedyncza kobiet)	Australian Open 2005 (gra pojedyncza mężczyzn)	None
[CAT=sport]	Australian Open 2006 (gra podwójna kobiet)	Australian Open 2006 (gra podwójna mężczyzn)	None
[CAT=sport]	Australian Open 2006 (gra pojedyncza kobiet)	Australian Open 2006 (gra pojedyncza mężczyzn)	None
[CAT=sport]	Australian Open 2007 (gra podwójna kobiet)	Australian Open 2007 (gra podwójna mężczyzn)	None
[CAT=sport]	Australian Open 2007 (gra pojedyncza kobiet)	Australian Open 2007 (gra pojedyncza mężczyzn)	None
[CAT=sport]	Australian Open 2008 (gra podwójna kobiet)	Australian Open 2008 (gra podwójna mężczyzn)	None
[CAT=sport]	Australian Open 2008 (gra pojedyncza kobiet na wózkach)	Australian Open 2008 (gra pojedyncza mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2008 (gra pojedyncza kobiet)	Australian Open 2008 (gra pojedyncza mężczyzn)	None
[CAT=sport]	Australian Open 2009 (gra podwójna kobiet)	Australian Open 2009 (gra podwójna mężczyzn)	None
[CAT=sport]	Australian Open 2009 (gra pojedyncza kobiet)	Australian Open 2009 (gra pojedyncza mężczyzn)	None
[CAT=sport]	Australian Open 2010 (gra podwójna kobiet)	Australian Open 2010 (gra podwójna mężczyzn)	None
[CAT=sport]	Australian Open 2010 (gra pojedyncza kobiet)	Australian Open 2010 (gra pojedyncza mężczyzn)	None
[CAT=sport]	Australian Open 2011 (gra podwójna kobiet)	Australian Open 2011 (gra podwójna mężczyzn)	None
[CAT=sport]	Australian Open 2011 (gra pojedyncza kobiet)	Australian Open 2011 (gra pojedyncza mężczyzn)	None
[CAT=sport]	Australian Open 2012 (gra podwójna kobiet)	Australian Open 2012 (gra podwójna mężczyzn)	None
[CAT=sport]	Australian Open 2012 (gra pojedyncza kobiet)	Australian Open 2012 (gra pojedyncza mężczyzn)	None
[CAT=sport]	Australian Open 2013 (gra podwójna kobiet na wózkach)	Australian Open 2013 (gra podwójna mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2013 (gra podwójna kobiet)	Australian Open 2013 (gra podwójna mężczyzn)	None
[CAT=sport]	Australian Open 2013 (gra pojedyncza kobiet na wózkach)	Australian Open 2013 (gra pojedyncza mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2013 (gra pojedyncza kobiet)	Australian Open 2013 (gra pojedyncza mężczyzn)	None
[CAT=sport]	Australian Open 2013 (turniej legend kobiet)	Australian Open 2013 (turniej legend mężczyzn)	None
[CAT=sport]	Australian Open 2014 (gra podwójna kobiet na wózkach)	Australian Open 2014 (gra podwójna mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2014 (gra podwójna kobiet)	Australian Open 2014 (gra podwójna mężczyzn)	None
[CAT=sport]	Australian Open 2014 (gra pojedyncza kobiet na wózkach)	Australian Open 2014 (gra pojedyncza mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2014 (gra pojedyncza kobiet)	Australian Open 2014 (gra pojedyncza mężczyzn)	None
[CAT=sport]	Australian Open 2014 (kwalifikacje gry pojedynczej kobiet)	Australian Open 2014 (kwalifikacje gry pojedynczej mężczyzn)	None
[CAT=sport]	Australian Open 2014 (turniej legend kobiet)	Australian Open 2014 (turniej legend mężczyzn)	None
[CAT=sport]	Australian Open 2015 (gra podwójna kobiet na wózkach)	Australian Open 2015 (gra podwójna mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2015 (gra podwójna kobiet)	Australian Open 2015 (gra podwójna mężczyzn)	None
[CAT=sport]	Australian Open 2015 (gra pojedyncza kobiet na wózkach)	Australian Open 2015 (gra pojedyncza mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2015 (gra pojedyncza kobiet)	Australian Open 2015 (gra pojedyncza mężczyzn)	None
[CAT=sport]	Australian Open 2015 (kwalifikacje gry pojedynczej kobiet)	Australian Open 2015 (kwalifikacje gry pojedynczej mężczyzn)	None
[CAT=sport]	Australian Open 2016 (gra podwójna kobiet na wózkach)	Australian Open 2016 (gra podwójna mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2016 (gra podwójna kobiet)	Australian Open 2016 (gra podwójna mężczyzn)	None
[CAT=sport]	Australian Open 2016 (gra pojedyncza kobiet na wózkach)	Australian Open 2016 (gra pojedyncza mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2016 (gra pojedyncza kobiet)	Australian Open 2016 (gra pojedyncza mężczyzn)	None
[CAT=sport]	Australian Open 2016 (kwalifikacje gry pojedynczej kobiet)	Australian Open 2016 (kwalifikacje gry pojedynczej mężczyzn)	None
[CAT=sport]	Australian Open 2016 (turniej legend kobiet)	Australian Open 2016 (turniej legend mężczyzn)	None
[CAT=sport]	Australian Open 2017 (gra podwójna kobiet na wózkach)	Australian Open 2017 (gra podwójna mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2017 (gra podwójna kobiet)	Australian Open 2017 (gra podwójna mężczyzn)	None
[CAT=sport]	Australian Open 2017 (gra pojedyncza kobiet na wózkach)	Australian Open 2017 (gra pojedyncza mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2017 (gra pojedyncza kobiet)	Australian Open 2017 (gra pojedyncza mężczyzn)	None
[CAT=sport]	Australian Open 2017 (kwalifikacje gry pojedynczej kobiet)	Australian Open 2017 (kwalifikacje gry pojedynczej mężczyzn)	None
[CAT=sport]	Australian Open 2018 (gra podwójna kobiet na wózkach)	Australian Open 2018 (gra podwójna mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2018 (gra podwójna kobiet)	Australian Open 2018 (gra podwójna mężczyzn)	None
[CAT=sport]	Australian Open 2018 (gra pojedyncza kobiet na wózkach)	Australian Open 2018 (gra pojedyncza mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2018 (gra pojedyncza kobiet)	Australian Open 2018 (gra pojedyncza mężczyzn)	None
[CAT=sport]	Australian Open 2018 (kwalifikacje gry pojedynczej kobiet)	Australian Open 2018 (kwalifikacje gry pojedynczej mężczyzn)	None
[CAT=sport]	Australian Open 2018 (turniej legend kobiet)	Australian Open 2018 (turniej legend mężczyzn)	None
[CAT=sport]	Australian Open 2019 (gra podwójna kobiet na wózkach)	Australian Open 2019 (gra podwójna mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2019 (gra podwójna kobiet)	Australian Open 2019 (gra podwójna mężczyzn)	None
[CAT=sport]	Australian Open 2019 (gra pojedyncza kobiet na wózkach)	Australian Open 2019 (gra pojedyncza mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2019 (gra pojedyncza kobiet)	Australian Open 2019 (gra pojedyncza mężczyzn)	None
[CAT=sport]	Australian Open 2019 (turniej legend kobiet)	Australian Open 2019 (turniej legend mężczyzn)	None
[CAT=sport]	Australian Open 2020 (gra podwójna kobiet na wózkach)	Australian Open 2020 (gra podwójna mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2020 (gra podwójna kobiet)	Australian Open 2020 (gra podwójna mężczyzn)	None
[CAT=sport]	Australian Open 2020 (gra pojedyncza kobiet na wózkach)	Australian Open 2020 (gra pojedyncza mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2020 (gra pojedyncza kobiet)	Australian Open 2020 (gra pojedyncza mężczyzn)	None
[CAT=sport]	Australian Open 2020 (kwalifikacje gry pojedynczej kobiet)	Australian Open 2020 (kwalifikacje gry pojedynczej mężczyzn)	None
[CAT=sport]	Australian Open 2020 (turniej legend kobiet)	Australian Open 2020 (turniej legend mężczyzn)	None
[CAT=sport]	Australian Open 2021 (gra podwójna kobiet na wózkach)	Australian Open 2021 (gra podwójna mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2021 (gra podwójna kobiet)	Australian Open 2021 (gra podwójna mężczyzn)	None
[CAT=sport]	Australian Open 2021 (gra pojedyncza kobiet na wózkach)	Australian Open 2021 (gra pojedyncza mężczyzn na wózkach)	None
[CAT=sport]	Australian Open 2021 (gra pojedyncza kobiet)	Australian Open 2021 (gra pojedyncza mężczyzn)	None
[CAT=sport]	Australian Open 2021 (kwalifikacje gry pojedynczej kobiet)	Australian Open 2021 (kwalifikacje gry pojedynczej mężczyzn)	None
[CAT=sport]	BNP Paribas Open 2009 (kobiety)	BNP Paribas Open 2009 (mężczyźni)	None
[CAT=sport]	BNP Paribas Open 2010 (kobiety)	BNP Paribas Open 2010 (mężczyźni)	None
[CAT=sport]	BNP Paribas Open 2011 (kobiety)	BNP Paribas Open 2011 (mężczyźni)	None
[CAT=sport]	BNP Paribas Open 2012 (kobiety)	BNP Paribas Open 2012 (mężczyźni)	None
[CAT=sport]	BNP Paribas Open 2013 (kobiety)	BNP Paribas Open 2013 (mężczyźni)	None
[CAT=sport]	BNP Paribas Open 2014 (kobiety)	BNP Paribas Open 2014 (mężczyźni)	None
[CAT=sport]	BNP Paribas Open 2015 (kobiety)	BNP Paribas Open 2015 (mężczyźni)	None
[CAT=sport]	BNP Paribas Open 2016 (kobiety)	BNP Paribas Open 2016 (mężczyźni)	None
[CAT=sport]	BNP Paribas Open 2017 (kobiety)	BNP Paribas Open 2017 (mężczyźni)	None
[CAT=sport]	BNP Paribas Open 2018 (kobiety)	BNP Paribas Open 2018 (mężczyźni)	None
[CAT=sport]	BNP Paribas Open 2019 (kobiety)	BNP Paribas Open 2019 (mężczyźni)	None
[CAT=sport]	Badminton na Letnich Igrzyskach Olimpijskich 2004 – gra podwójna kobiet	Badminton na Letnich Igrzyskach Olimpijskich 2004 – gra podwójna mężczyzn	None
[CAT=sport]	Badminton na Letnich Igrzyskach Olimpijskich 2004 – gra pojedyncza kobiet	Badminton na Letnich Igrzyskach Olimpijskich 2004 – gra pojedyncza mężczyzn	None
[CAT=sport]	Badminton na Letnich Igrzyskach Olimpijskich 2008 – gra podwójna kobiet	Badminton na Letnich Igrzyskach Olimpijskich 2008 – gra podwójna mężczyzn	None
[CAT=sport]	Badminton na Letnich Igrzyskach Olimpijskich 2008 – gra pojedyncza kobiet	Badminton na Letnich Igrzyskach Olimpijskich 2008 – gra pojedyncza mężczyzn	None
[CAT=sport]	Badminton na Letnich Igrzyskach Olimpijskich 2012 – debel kobiet	Badminton na Letnich Igrzyskach Olimpijskich 2012 – debel mężczyzn	None
[CAT=sport]	Badminton na Letnich Igrzyskach Olimpijskich 2012 – singel kobiet	Badminton na Letnich Igrzyskach Olimpijskich 2012 – singel mężczyzn	None
[CAT=sport]	Badminton na Letnich Igrzyskach Olimpijskich 2016 – debel kobiet	Badminton na Letnich Igrzyskach Olimpijskich 2016 – debel mężczyzn	None
[CAT=sport]	Badminton na Letnich Igrzyskach Olimpijskich 2016 – singel kobiet	Badminton na Letnich Igrzyskach Olimpijskich 2016 – singel mężczyzn	None
[CAT=sport]	Barclays Dubai Tennis Championships 2008 (kobiety)	Barclays Dubai Tennis Championships 2008 (mężczyźni)	None
[CAT=sport]	Barclays Dubai Tennis Championships 2009 (kobiety)	Barclays Dubai Tennis Championships 2009 (mężczyźni)	None
[CAT=sport]	Barclays Dubai Tennis Championships 2010 (kobiety)	Barclays Dubai Tennis Championships 2010 (mężczyźni)	None
[CAT=sport]	Biathlon na Zimowej Uniwersjadzie 2015 – bieg indywidualny kobiet	Biathlon na Zimowej Uniwersjadzie 2015 – bieg indywidualny mężczyzn	None
[CAT=sport]	Biathlon na Zimowej Uniwersjadzie 2015 – bieg masowy kobiet	Biathlon na Zimowej Uniwersjadzie 2015 – bieg masowy mężczyzn	None
[CAT=sport]	Biathlon na Zimowej Uniwersjadzie 2015 – bieg pościgowy kobiet	Biathlon na Zimowej Uniwersjadzie 2015 – bieg pościgowy mężczyzn	None
[CAT=sport]	Biathlon na Zimowej Uniwersjadzie 2015 – sprint kobiet	Biathlon na Zimowej Uniwersjadzie 2015 – sprint mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 1992 – bieg indywidualny kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 1992 – bieg indywidualny mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 1992 – sprint kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 1992 – sprint mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 1992 – sztafeta kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 1992 – sztafeta mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 1994 – bieg indywidualny kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 1994 – bieg indywidualny mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 1994 – sprint kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 1994 – sprint mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 1994 – sztafeta kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 1994 – sztafeta mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 1998 – bieg indywidualny kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 1998 – bieg indywidualny mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 1998 – sprint kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 1998 – sprint mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 1998 – sztafeta kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 1998 – sztafeta mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2002 – bieg indywidualny kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2002 – bieg indywidualny mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2002 – bieg pościgowy kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2002 – bieg pościgowy mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2002 – sprint kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2002 – sprint mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2002 – sztafeta kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2002 – sztafeta mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2006 – bieg indywidualny kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2006 – bieg indywidualny mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2006 – bieg masowy kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2006 – bieg masowy mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2006 – bieg pościgowy kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2006 – bieg pościgowy mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2006 – sprint kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2006 – sprint mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2006 – sztafeta kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2006 – sztafeta mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2010 – bieg indywidualny kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2010 – bieg indywidualny mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2010 – bieg masowy kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2010 – bieg masowy mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2010 – bieg pościgowy kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2010 – bieg pościgowy mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2010 – sprint kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2010 – sprint mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2010 – sztafeta kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2010 – sztafeta mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2014 – bieg indywidualny kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2014 – bieg indywidualny mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2014 – bieg masowy kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2014 – bieg masowy mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2014 – bieg pościgowy kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2014 – bieg pościgowy mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2014 – sprint kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2014 – sprint mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2014 – sztafeta kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2014 – sztafeta mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2018 – bieg indywidualny kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2018 – bieg indywidualny mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2018 – bieg masowy kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2018 – bieg masowy mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2018 – bieg pościgowy kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2018 – bieg pościgowy mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2018 – sprint kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2018 – sprint mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Olimpijskich 2018 – sztafeta kobiet	Biathlon na Zimowych Igrzyskach Olimpijskich 2018 – sztafeta mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Paraolimpijskich 2010 - 2,4 kilometra kobiet - osoby na wózkach	Biathlon na Zimowych Igrzyskach Paraolimpijskich 2010 - 2,4 kilometra mężczyzn - osoby na wózkach	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Paraolimpijskich 2010 - 3 kilometry kobiet - osoby niewidome	Biathlon na Zimowych Igrzyskach Paraolimpijskich 2010 - 3 kilometry mężczyzn - osoby niewidome	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Paraolimpijskich 2010 - 3 kilometry kobiet - osoby stojące	Biathlon na Zimowych Igrzyskach Paraolimpijskich 2010 - 3 kilometry mężczyzn - osoby stojące	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Paraolimpijskich 2014 – 12,5 km kobiet – osoby na wózkach	Biathlon na Zimowych Igrzyskach Paraolimpijskich 2014 – 12,5 km mężczyzn – osoby na wózkach	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Paraolimpijskich 2014 – 12,5 km kobiet – osoby niewidome	Biathlon na Zimowych Igrzyskach Paraolimpijskich 2014 – 12,5 km mężczyzn – osoby niewidome	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Paraolimpijskich 2014 – 12,5 km kobiet – osoby stojące	Biathlon na Zimowych Igrzyskach Paraolimpijskich 2014 – 12,5 km mężczyzn – osoby stojące	None
[CAT=sport]	Biathlon na Zimowych Igrzyskach Paraolimpijskich 2018 – 12,5 km kobiet	Biathlon na Zimowych Igrzyskach Paraolimpijskich 2018 – 12,5 km mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Światowych Wojskowych Igrzyskach Sportowych 2010 – sprint drużynowo kobiet	Biathlon na Zimowych Światowych Wojskowych Igrzyskach Sportowych 2010 – sprint drużynowo mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Światowych Wojskowych Igrzyskach Sportowych 2010 – sprint indywidualnie kobiet	Biathlon na Zimowych Światowych Wojskowych Igrzyskach Sportowych 2010 – sprint indywidualnie mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Światowych Wojskowych Igrzyskach Sportowych 2013 – sprint indywidualnie kobiet	Biathlon na Zimowych Światowych Wojskowych Igrzyskach Sportowych 2013 – sprint indywidualnie mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Światowych Wojskowych Igrzyskach Sportowych 2017 – sprint drużynowo kobiet	Biathlon na Zimowych Światowych Wojskowych Igrzyskach Sportowych 2017 – sprint drużynowo mężczyzn	None
[CAT=sport]	Biathlon na Zimowych Światowych Wojskowych Igrzyskach Sportowych 2017 – sprint indywidualnie kobiet	Biathlon na Zimowych Światowych Wojskowych Igrzyskach Sportowych 2017 – sprint indywidualnie mężczyzn	None
[CAT=sport]	Biegi narciarskie na Mistrzostwach Świata w Narciarstwie Klasycznym 2011 - sprint drużynowy techniką klasyczną kobiet	Biegi narciarskie na Mistrzostwach Świata w Narciarstwie Klasycznym 2011 - sprint drużynowy techniką klasyczną mężczyzn	None
